Address,PT Float WBNBZRGT,PT Stable WBNBZRGT,Total Liability WBNBZRGT,PT Float ZRGWBNB,PT Stable ZRGWBNB,Total Liability ZRGWBNB,PT Float WBNBUSDT,PT Stable WBNBUSDT,Total Liability WBNBUSDT,PT Float ZRGUSDT,PT Stable ZRGUSDT,Total Liability ZRGUSDT
0xac2048c35Ed08ADBb9c231686Dfdf84F08Af06CE,0,0,0,169165302882823331561271,934652158837474880,296.9490630287955,0,0,0,0,0,0
0x66633Cc6B84CD127A0bb84864c1a4eA0172469A6,0,0,0,0,0,0,0,0,0,0,0,0
0x48e471103DD4945D146a0E28F4C62f56466B2B6f,0,0,0,0,0,0,0,7120912131196817955403,7130.999784877273,0,0,0
0x116EB0e327f276c9f73B189f78727A3D0D6A3BAA,0,0,0,0,0,0,0,0,0,0,0,0
0x64A7Cc1A3235fCFfe0Cc00F576fA61BeA5DDC43c,0,0,0,0,0,0,805203341132491199,0,61.05245140421084,0,0,0
0x1C46086c2E15b52742dCBFd9Eb54CA81c5a368e0,0,0,0,0,4888574433800055318,1553.1527787503637,0,0,0,0,0,0
0x9679292157ab611121F85e43089aD8a1e98403d4,0,0,0,0,0,0,0,0,0,0,0,0
0x2Db5e12516bbBdb485351710bFF5bEb613136d26,0,0,0,0,14260533615619655051,4530.725206600902,0,0,0,0,0,0
0x0d7365C77ceBae929f1A06dDD721aE9081e751D0,0,0,0,0,0,0,0,0,0,0,0,0
0x98f92b5E762bD951B589EB932a0020C44bA99BCB,0,0,0,0,0,0,0,0,0,0,0,0
0x82dfD365d7a8C7FF3652878AC25528a6D3B9c346,0,0,0,0,0,0,0,0,0,0,0,0
0xdD97B4220eFBE2263d7f7435d044b40537D80618,0,0,0,0,0,0,0,0,0,0,0,0
0x319b916A699865618121B99E66E34b1Cc597EC32,0,0,0,0,0,0,0,0,0,0,0,0
0x1Ff2914a2f9FAEDb1361Bd405354D6887F9292f3,0,0,0,0,0,0,0,0,0,175803371049265808569229,1517967755516372084125,1521.7850518633895
0x80e0310b95Cb13e886C712e6A7E5059bc9619F38,0,0,0,0,0,0,0,0,0,0,0,0
0xA789D788923787172Cc6B2C53704Fb6017C9E157,0,0,0,0,0,0,0,0,0,0,0,0
0xD84A185d5FF025b917Ced55a5a1fe88230572BE6,0,0,0,0,0,0,0,0,0,0,1857088752729720772742,1861.758850685439
0x7d747ae6dc13f4cf60ee00fa0839f7d456db984b,0,0,0,0,988447615832373776,314.0404594363208,0,0,0,0,0,0
0x83a110727D39159A65c835D0C6c162ebC01acaeA,0,0,0,574873409771978948795544,0,0,0,0,0,1112792053512592499166264,0,0
0xe749f5e3d8FB128291910265BB852a6084FB7436,0,0,0,0,157084530615437891,49.90744817900122,0,0,0,0,13948515355202176874,13.983592264128674
0x9CD349FB2cbd22ccfF2DA7962b6e853e0eF566E0,0,0,0,0,0,0,0,0,0,130847944206236800645026,798376181735635300989,800.3838913664949
0x9Aa8cC57ef8793975f60e23611af8804070a4f22,0,0,0,0,0,0,0,0,0,0,2993706674964738311122,3001.235073056763
0x02ac7b7229c309bcbd4bae60cdf347251c9cad6b,0,0,0,0,0,0,0,0,0,0,0,0
0x6d9807d18374f33213de86917937544a7095e39e,0,0,0,0,5082011064012114996,1614.6096807152244,11258459946438962669,2000199184930704971042,2856.676190418453,0,6994441347860984876519,7012.030559034669
0x22963f931baa98d5ce2a43ab7681a638a693f560,0,0,0,0,0,0,0,0,0,0,3690636608571273721253,3699.9176052148905
0x3eaA0ecb2A2838EEe02FB280C98E740cc13F4C3A,0,0,0,0,0,0,0,0,0,0,0,0
0x9578380ECb0bb6E546C89fb595090645f8AbFfa2,0,0,0,0,0,0,3252095143686566178,2394095821232274119422,2644.069019628827,0,0,0
0x0e94DD9b9583F4726103b263915E12fe29D2EF81,0,0,0,0,0,0,0,0,0,47256566038563899485203,1099086167902465369569,1101.8500853826263
0x4e7b1f5d52889144eb73ed4aFF7B2DBaA511C6F3,0,0,0,0,3883378919391031976,1233.7913314545367,0,0,0,0,0,0
0xC861Cf149019229A33F3357F2ee7049812f10f88,0,0,0,0,0,0,0,0,0,0,0,0
0xF01d9114b780154b08B1515d7Fa2808FDb691495,0,0,0,0,0,0,0,0,0,0,0,0
0xf4f48A62AdC322a30159cff987F35D3A6b352F3e,0,0,0,0,801833024890179661,254.75099286437762,1406032187873908355,3982422782740021823356,4094.6731154201116,0,0,0
0x4FfD0A59a26cB2Aa76D403215e4cC2845C053994,0,0,0,0,0,0,0,0,0,0,0,0
0xc30Bd79d8a637D301d676480902BDdbfe08582f3,0,0,0,0,24101401407694244269,7657.274953066466,0,0,0,937528073285280766652935,4283859065823986368125,4294.631863535717
