"HolderAddress","Balance","PendingBalanceUpdate"
"0x006e5073bda594255c3c732f1979af99e54d8fe9","4420.91288245737","No"
"0x00c6a1a5f61558491bc8ceda03fdb4658513ccea","0.0835986092772571","No"
"0x00f4aa8ef0f1d5ab56eec639ddf5bd751db89eb6","31000","No"
"0x0138e3581057c003ef231fa45967b5034056089c","43750","No"
"0x0268dd89c99752d5096c6e0f032cd3d7e62ebdb5","519.972196478221","No"
"0x026ba21bfc192eea87d53a0d4d47ccc0ebc465b8","1985.64860889542","No"
"0x02a985b1112bf79f0761a45dba44b5d13c3f3b9f","2000","No"
"0x02ac7b7229c309bcbd4bae60cdf347251c9cad6b","15138.7362673987","No"
"0x03056807f2c85db7645611cdac3cd4d16ab34fea","73.8515120671539","No"
"0x03675ada367329ae4de1c04213ad1274a21422a0","1512.53476161091","No"
"0x03add75ef5b57fcdd1103a46772e41850b675e4e","4381.45194059622","No"
"0x03b3c144bf0ad692245d451eb8f9997182954259","135357.487921619","No"
"0x05f51de33bd21abd4172634eddc78c8884212033","67268.9186689487","No"
"0x0657d0ce74a252d48d87c7f7ccb0f8c7089866fd","2000","No"
"0x07029499d002f0bac847de418c26ede67ecfc9f2","5500.44978002949","No"
"0x076cd3bd1ab06f90058a8550c4d37e382c55ca90","1266.209860155","No"
"0x0785f9f777c252e1d1058e675c19cb13ad22e39c","16200","No"
"0x0854d837fd4db6ed9626e8eaf940e7ed48269277","1358837.81413953","No"
"0x08be042ecebf51988bcfb206b7ee75ebdbdd8ee0","36271.1350836616","No"
"0x0a88beb7b0fb6c01970b5d3aa8fd2d12b07bebe6","12457.2289156712","No"
"0x0ad76797ea58f20f91179a0b183e8b6c1cd90966","1389.70377560262","No"
"0x0cd929079c60fdcb3af959c2bd6afc1d5cb0e0fc","2000","No"
"0x0cf049efaff8121b27a66d1b8d200e9c9694fabb","12962.4910475705","No"
"0x0d117fc5a742e1caaaea3add9faf6ec4353c65b5","17.5240587224264","No"
"0x0d31b37225f5505cf3038985492546f52df5f99d","78296.237244898","No"
"0x0e94dd9b9583f4726103b263915e12fe29d2ef81","16051.2925979012","No"
"0x0f5540a479bb9099ada1a04b702769c0564d736f","29604.5216398607","No"
"0x0fe83fae58eb49cc91ca9f26f8dcac61500991b8","3122.1427163392","No"
"0x0ff33fe9bfd306b4973d94c5c02d43fd28fdcae3","2000","No"
"0x0ff523a68689b94f265f0f28cb7f70bd636c62b4","2000","No"
"0x1112c9c86aba7edcc60c15a8616ad9c164b25b33","2000","No"
"0x116eb0e327f276c9f73b189f78727a3d0d6a3baa","76602.8120886579","No"
"0x117fe30feca1a1fadf64eaf87d6294299aae1834","31250","No"
"0x12d75e78a1007dd1f66e2e1859464d814cfcb5dd","261.155360083297","No"
"0x12d7bb0cda20b111b83ae187b9a90cf29e76f93e","332345.663160519","No"
"0x12ec315aac49585b82718eca7db6daf7b0e7ccac","2000","No"
"0x1448a70529a705768a6890e9d1d81f9779561cdf","2000","No"
"0x1448cf925eed0436b7da67a4deab76d9c09029c2","5147510.57712116","No"
"0x14907e2c986d9aefa17d566505d64adc172b32b9","2000","No"
"0x156548113552bb52ae921a0b44794a6a5f588c9c","12350.5536612384","No"
"0x157a8c092a9544fb84ed06d633956c1aba075e9f","3427.09418016376","No"
"0x15c172728c45bfdbe1673a5fe216aae57e432df9","1392.37994704814","No"
"0x170fe59ec78d9890cf768aa1693a8b51ad21552e","43750","No"
"0x183b2f947e172fe5d14c33956cb80c9b0b9dec8e","1445.78313324999","No"
"0x196c1c559cfaaadbf3bcf585332375d22b65fa24","8238.83448555835","No"
"0x19820e139437122c3455d28036e52b8685c06d83","1209.453197405","No"
"0x1aa28d9c3ba86f28a6b4785720bccf8983322747","395346.784096038","No"
"0x1ab64cd699386966ff214a20e46c5f8239a67b11","50014.6979521085","No"
"0x1be6d74623190779680d3154994d36d4ac0129fc","6.65761549863429","No"
"0x1bffbd4a935c8a9d74af330d6b50864e9a4c7bd2","45853764.4852923","No"
"0x1c8c788cea19174de249f79a1b9386607a6c9c24","2000","No"
"0x1cae141ec4f5becd042d8df35e397b00c26e0e8a","7479.74874721911","No"
"0x1e4478dff7a83392ea03c0154a21a937df405230","30000","No"
"0x1e8717ec4e27f528f34d8acb7cb2c3424928ef9b","0.699063003636799","No"
"0x1f137f133df19d65669165a0963fe72485c7fd0a","33642.7395003522","No"
"0x1f84833dcb4e7421fe691cb64369580c1e48b287","0.784774153907223","No"
"0x1fb31802a236649679aeded8920d104c1f5bbd78","6408.71177015757","No"
"0x1ff2914a2f9faedb1361bd405354d6887f9292f3","90713.8297067391","No"
"0x218cf13e4dfc67ac478fe16a982b0fca00ca8d6e","23598.5460486086","No"
"0x222503e26161b94138de6cffd82e8ecd4182688c","2000","No"
"0x2281bb8de864ee1afefc026fb022c8bc2fc9ff3d","2000","No"
"0x22d7b4f4169c7257b2bf9c0b7ce4903fb69a14ce","62000","No"
"0x2315e6d7eef05db8a2fd4ade00c5d97954ac7749","21200","No"
"0x2380f7d1ebca8044f6489c504628c8cac41b9557","179.370597395604","No"
"0x241202a851dbb3cbe68a42ac2c7f11ab2628a5da","1.2508E-14","No"
"0x24ccb126149c236a2683af179f278bdeef65c4b4","2000","No"
"0x254612b83ebfcc2cc81de75d26c6ccb7419dadfd","150000","No"
"0x25fca061759570cdb60fdb7ab3f7fd4a302abea9","56200","No"
"0x26280c84403e25d0316d67e3f78e1170a6cd69bb","11561.7442106928","No"
"0x26bf57be8edfba58beceb2ed9b6779c3089c4563","603706.500693253","No"
"0x274b8752ca123712d9b966e53673092bb4d10311","53777464","No"
"0x277f503b8dece63e47ac5c25ad1cbd94860f4a27","1876.73772013495","No"
"0x27afaca1427a76c242f8baa6deb1258c7cde7bdf","1000","No"
"0x27c26ed7612d613e8011b01bd02754cdde6898b0","2000","No"
"0x28683f7ee8d4c0bc197bc6903f2657665134cc02","77.7548595665217","No"
"0x287762f36c58508cfad330248028b8787b059dc2","43700","No"
"0x290086e644023078ae36c156a9280165a41a9cfe","410.858443029865","No"
"0x2912028a554199397d6be30a914edf72eab3602b","96887.9078305057","No"
"0x291f442da54754ac3c8eb232469ff9424ef59faa","43750","No"
"0x2aa7707ce3695241048b48eecc77126158dd960b","1","No"
"0x2ad2264a0755936137ac256fd9d742feee7ab5ff","90892.178714336","No"
"0x2b5b2d0273838b9e7e1814672c23b208dc3d252c","44816.8000687049","No"
"0x2b5bebca8c546153eaeaf46dea46303167934111","1.00140137680366","No"
"0x2c561ecb79c4bca373b96c8398390bc90163dc57","1000","No"
"0x2d64291ab36ed22217ba2266c73024de94da819a","2000","No"
"0x2db5e12516bbbdb485351710bff5beb613136d26","201461.719758899","No"
"0x2ebd947294128488b2edd1a90a941c28b0fed8e5","43700","No"
"0x2ec698480f860dcd4d6e78f5fc13f94739cb032f","40311.5750714998","No"
"0x2efe05b6670f30ddda94f24bb89adb709a238404","0.564534856137537","No"
"0x30e25eaa01f60acf52470ccfc57cad3e245b43c9","0.000304094488494085","No"
"0x3144393033b0263c183044ca6952b09465e97813","2000","No"
"0x319b916a699865618121b99e66e34b1cc597ec32","234776.068456516","No"
"0x31fb09059f69aff0f2be01174f104becfb959419","0.207034111770826","No"
"0x328d3019502d025c22f77e95bda08477fc8e0ea6","31250","No"
"0x333ad4bd869b12fb3b1c883cf2f1c89b685e018c","9.93949311551909","No"
"0x33f13deb3b6abba5be81d9bfc18a65bab7efa5f0","27034.0315107461","No"
"0x340fe1d898eccaad394e2ba0fc1f93d27c7b717a","121970494.174197","No"
"0x3518361a577cfbc79efed7b44885b957c34a4a79","971049.490111484","No"
"0x35b3880c7e4dd91c5ec0b3b5944829ecb56d540a","395.053993277904","No"
"0x35e8bc1f92f64f0fe4c697d6cb4ddf19bbfef440","150000","No"
"0x368381c36033ceb2c2e718163dbb7e965111ac98","2778.2745920105","No"
"0x3739c8ad30316c2b954213dc19d7b525f92ba6f0","20","No"
"0x37841033bc4373fba75419ae05d8100912812d12","46410.1932345365","No"
"0x37df46034da620029605b369b717fb4e2580f16c","5945.51598001899","No"
"0x37ff08ee6b1c833154e96251675115dfa1af05d3","5066.58040549502","No"
"0x38778748e180e9f1392f22cdcd97c6beea7466b7","24341.4377707414","No"
"0x39642e6f48e210f9285b0025aa49957cee7b7c4f","10615.8826042833","No"
"0x396a6d7a33655c45044143cb8a812227bf279578","232681.666554565","No"
"0x3a03605ff5cd1a702d8cf4ec1ea51326dd802477","4644.52646094745","No"
"0x3a285efc6302eca50d7e82db79608f510174ad9c","0.0103767593118489","No"
"0x3a88b3f4495cb7d4e3b87bfa6cdc8dfb2103a173","332.71946010643","No"
"0x3a9fefb29397f61197481ba2cceca6c8d2d07e8d","1686.37332281667","No"
"0x3ab8c2c27a9c1a0b396758a77719e361b87240d6","1808.72618099886","No"
"0x3bcf3b325b866eb9acd12f96edeec55dec6c26c3","24.7945073165778","No"
"0x3bf162f7f6da6b67b604c56bdf6945f1ecd39d96","2215.01390176089","No"
"0x3c6ec8fb33537a487d097c4491d3d81ae43c5f9d","2000","No"
"0x3cc122f2a68fc25bab332be1afd6009e03a6614f","519810.315477663","No"
"0x3df802578dfbb0609c4e4a1fc5b8842608c08353","2000","No"
"0x3e0d0c863fe6d2fefb455d9e336914e4ec62dab9","0.0484998973115318","No"
"0x3e90ca7a90d38f4680252bc065a06e3beec5c025","3039.85171456566","No"
"0x3edaa502f15bbe0e726bcdc1fcac341040e4103f","0.179414737772447","No"
"0x3fdc5d351f555c5c8fa622f9ecbd7bce9fd9a469","1399.44392978852","No"
"0x40fa7ce598b335e9cac534d61fd44754c394bc49","2000","No"
"0x410bc74601073b9b94985d951b4be44e6ef44d39","501.229591836735","No"
"0x416de0c3f6271a8d043a48ef1d38dff216e12a94","14376.9730582339","No"
"0x41a1bdd4d8a4d5ed7d2ce3454bfe7db53c867b29","565129.298122987","No"
"0x41c0b367d70c37139ac50c46975242e590f74dbc","60377.1554490298","No"
"0x43c40c8a2e63de6fc79928bfa27648a6698b9999","91009.1493297556","No"
"0x43ce4e00499c612db481f324baafbd7a050e39b6","538214.197441896","No"
"0x455370afe0544b59c8c724e00d4714632b643e6b","75000","No"
"0x455a89ceaf1dfb149c9fc166b84e694555b63766","8.79544590525223","No"
"0x45614680bd415d2b52b599210fe837b6df0945cf","4000","No"
"0x465d5b03ac86233fa50835984ec1d881f7a9dd8c","2000","No"
"0x489389ed41c0413d93956535b57be1ebfb0f3d6e","33866.8320436239","No"
"0x49502d55419fe82e57e7b73e26188fafe4a8170a","18494.7957273963","No"
"0x4ab13fd4d285bc4cbf80c767afb5ff288f7b1eb2","1556.99721964787","No"
"0x4b7f1fd66d1b5042bb47a1a45768614ea278f626","2006411.39954882","No"
"0x4b95af093343d39b9f2edbf9188075a355dd235d","901.555918367347","No"
"0x4bbe0fd0bdec55e074c5e6ea9f4f627aff31e93a","0.0783530122181382","No"
"0x4cc0e7e60b38e56651bc4b8633e88d4c4e90ff93","2660.96938779524","No"
"0x4ce3bc8cf84e09a4f725632548f0fd5592d6f533","70435.4669070495","No"
"0x4ce64d7fce65e893876018f1ae68f2c97fdefa3a","12464.8645033471","No"
"0x4e7b1f5d52889144eb73ed4aff7b2dbaa511c6f3","235600.951758491","No"
"0x4ec9cace98f00f0bab60c0c542cd9d43f66e8cb6","76711.8082005267","No"
"0x4ee9dad8eca4deb4bf75629bde9ca55c6c08e348","2000","No"
"0x4f0ddbe55a499e6d15cb917922154434545ffa8c","6.1394980012259","No"
"0x4f93110dd9ba91213c56b8cb9fdbe7f10caa0cdc","37.7188148758913","No"
"0x4ffd0a59a26cb2aa76d403215e4cc2845c053994","1273.91430020587","No"
"0x5026cf4f0d1cd0028b5f6c91efc53e09eb190519","8850000","No"
"0x511746cf1776e4e1242e4fa577a5b89619727e9b","1000","No"
"0x5136ad87d75cf32a50d0d5f09ed64e7d1d2cf7aa","2000","No"
"0x51e27ac9cfaa5b77ac9268fd7487c79932a54c57","31000","No"
"0x523f6b392de1b81031eb0ae48dc9b1fd85a67bd7","9633.9202965709","No"
"0x52fcaed1f886aa5a2f02ebad8365afd2ca722b04","23137.1113739907","No"
"0x532bbe1036fd3c8ce60ab92fc4626d5eb3a50657","34000","No"
"0x534e0b0dac52d66b0755e45d4f412da1d4249c25","2000","No"
"0x54b937e7f96ee3195832a3efdf363a168bc5c0d1","2000","No"
"0x57a85a21fbb75331847679c0c58167237ad304f4","3741.19806263102","No"
"0x5850b8d05b15aed14acae56493b30ef63671b0f5","0.0843279714329519","No"
"0x58b5af3e822b961db7a9232ec15db427d507c766","722271.546777142","No"
"0x5901a5416ac8dcf2b0ee76d302ae55bb6d09520b","1964.78220593313","No"
"0x590480bc3509f0ffe9bd11dfe16aa0d75a017824","1370.77378459229","No"
"0x5ac1f0b2ee43048beb1bc76a85763cfb3d23ce0b","7860.34797843506","No"
"0x5ac6dfd5080ef01335a47d8438c999f5fa6c3c0c","297962.47524527","No"
"0x5c6eb31c6119d3e05b817c5a0e3e8f989aaccc65","2000","No"
"0x5e34c287520d56e36284fdab88e3c39987cb1420","0.120732295219433","No"
"0x5eb3b9aaa4367d5f13b6db7eecc2def81c7f8aca","46599.2354089225","No"
"0x5f5d9ad05752c464a027ff85ad91ec6c38a175e0","1658965.29664164","No"
"0x6001acfd9ec2884c06f818e7ab3f600ace180d43","56000","No"
"0x6020b55e2bf6746e513a1e99561cb50843fb6f28","0.558000171261651","No"
"0x60dda28d5362bb935dd2e04e00680e37234af127","7103.79981494787","No"
"0x6108d08f46ea39d9d8319333da2d1c22d1f9a51f","394.67099248583","No"
"0x615f906228379e03ed248653c9d7c5c6adecf245","2000","No"
"0x62f27e5107fcf89b17966dad5991437018d0e502","2000","No"
"0x63db397be8c5ecf0bb1fd70a486c59a7a48940de","500","No"
"0x64a45cb481f4622f726c85849eac03b28064a190","11775.7414284311","No"
"0x64a7cc1a3235fcffe0cc00f576fa61bea5ddc43c","17261.3513999432","No"
"0x64dcaab4052b72949bd9ca7d1d7eb01c6f8442ae","2795.60980890609","No"
"0x651ad004f615be56abe4c7acf9b34ce416dd3591","4206.97534995718","No"
"0x65254ed4a0e07fc294a74f45baef9efde64759ae","1248.90075019719","No"
"0x65f9052a125485a21b85f2416fb7819437b43fcc","9175.20214755559","No"
"0x66633cc6b84cd127a0bb84864c1a4ea0172469a6","10998.8197691414","No"
"0x66e96b67e9e6cc1fcd7232daa7bbb73b4af31fe4","19648.8032828034","No"
"0x67caa2d0af9271805d6f68af6c4ec1016ebd33e9","49.8092954594419","No"
"0x67cd5a9bc64c2a26e34d7bc87a7998667df7f389","1778725.22949905","No"
"0x68110b9766cf39a549af2ce2159fa7195fc55776","9456.76755004042","No"
"0x6825ec500953441edaac2f07606b1e1c4b22a69c","13.3141602571963","No"
"0x686e39ff9f096c28f12e52f4068c26ad05cfd05b","1462146.01088246","No"
"0x6c2693f5a936f37ed03cfa8465bf2d8beff19a0f","1883.94265576569","No"
"0x6c89cfc012fa849fb72c1b9b97d3a4200439e6b7","0.444713170702156","No"
"0x6c8a9c2a088af3dc5fd1a5cf32bfc3c865a6a9c6","100100","No"
"0x6d8a369592409da6d20255a5ae1ec2936d822764","325982.295918367","No"
